"Geslacht";"Persoonskenmerken";"Regio's";"Perioden";"Personen (x 1 000)";"Personen met persoonlijk inkomen (x 1 000)";"Aandeel personen (%)";"Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Mediaan gestandaardiseerd inkomen (1 000 euro)";"Gemiddeld persoonlijk inkomen (1 000 euro)";"Mediaan persoonlijk inkomen (1 000 euro)"
"Totaal mannen en vrouwen";"Totaal personen";"Lopik";"2021";"    14.3";"    11.6";"     100";"    39.2";"    35.8";"    35.5";"    29.0"
"Totaal mannen en vrouwen";"Totaal personen";"Losser";"2021";"    22.3";"    18.5";"     100";"    34.8";"    31.9";"    31.6";"    26.1"
"Totaal mannen en vrouwen";"Totaal personen";"Maasdriel";"2021";"    25.1";"    20.6";"     100";"    38.2";"    34.4";"    35.6";"    28.1"
"Totaal mannen en vrouwen";"Totaal personen";"Maasgouw";"2021";"    23.0";"    19.7";"     100";"    36.4";"    33.6";"    34.6";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Maashorst";"2021";"    57.1";"    47.5";"     100";"    36.7";"    33.7";"    34.0";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Maassluis";"2021";"    33.2";"    27.1";"     100";"    34.2";"    31.7";"    34.1";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Maastricht";"2021";"   110.7";"    94.3";"     100";"    31.5";"    28.0";"    32.3";"    24.0"
"Totaal mannen en vrouwen";"Totaal personen";"Medemblik";"2021";"    44.3";"    36.8";"     100";"    36.9";"    33.4";"    33.5";"    27.2"
"Totaal mannen en vrouwen";"Totaal personen";"Meerssen";"2021";"    18.3";"    15.5";"     100";"    38.4";"    34.7";"    37.4";"    29.3"
"Totaal mannen en vrouwen";"Totaal personen";"Meierijstad";"2021";"    80.6";"    67.0";"     100";"    38.2";"    34.2";"    34.8";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Meppel";"2021";"    33.6";"    27.5";"     100";"    34.2";"    31.7";"    33.5";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Middelburg (Z.)";"2021";"    47.7";"    39.2";"     100";"    34.1";"    31.6";"    33.5";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Midden-Delfland";"2021";"    19.3";"    15.6";"     100";"    42.6";"    38.2";"    40.3";"    32.5"
"Totaal mannen en vrouwen";"Totaal personen";"Midden-Drenthe";"2021";"    32.8";"    27.5";"     100";"    35.4";"    32.9";"    33.0";"    27.7"
"Totaal mannen en vrouwen";"Totaal personen";"Midden-Groningen";"2021";"    59.4";"    48.8";"     100";"    31.6";"    29.2";"    30.6";"    25.1"
"Totaal mannen en vrouwen";"Totaal personen";"Moerdijk";"2021";"    36.7";"    30.3";"     100";"    36.5";"    33.6";"    35.6";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Molenlanden";"2021";"    43.7";"    34.7";"     100";"    40.2";"    34.8";"    35.9";"    28.6"
"Totaal mannen en vrouwen";"Totaal personen";"Montferland";"2021";"    35.5";"    30.0";"     100";"    34.8";"    32.0";"    31.8";"    25.9"
"Totaal mannen en vrouwen";"Totaal personen";"Montfoort";"2021";"    13.8";"    11.3";"     100";"    40.4";"    36.7";"    37.8";"    30.8"
"Totaal mannen en vrouwen";"Totaal personen";"Mook en Middelaar";"2021";"     7.8";"     6.7";"     100";"    42.0";"    36.5";"    38.9";"    31.0"
"Totaal mannen en vrouwen";"Totaal personen";"Neder-Betuwe";"2021";"    24.3";"    18.8";"     100";"    36.1";"    32.3";"    32.9";"    26.4"
"Totaal mannen en vrouwen";"Totaal personen";"Nederweert";"2021";"    16.9";"    14.4";"     100";"    36.5";"    33.9";"    33.2";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Nieuwegein";"2021";"    63.1";"    52.0";"     100";"    34.9";"    32.7";"    35.2";"    29.8"
"Totaal mannen en vrouwen";"Totaal personen";"Nieuwkoop";"2021";"    28.5";"    23.4";"     100";"    39.8";"    35.5";"    37.0";"    30.2"
"Totaal mannen en vrouwen";"Totaal personen";"Nijkerk";"2021";"    43.2";"    34.3";"     100";"    38.4";"    34.4";"    35.4";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Nijmegen";"2021";"   172.4";"   143.6";"     100";"    32.0";"    29.6";"    33.5";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Nissewaard";"2021";"    84.4";"    68.3";"     100";"    34.0";"    32.3";"    35.2";"    28.9"
"Totaal mannen en vrouwen";"Totaal personen";"Noardeast-Fryslân";"2021";"    44.8";"    36.0";"     100";"    31.5";"    29.6";"    29.1";"    24.9"
"Totaal mannen en vrouwen";"Totaal personen";"Noord-Beveland";"2021";"     7.4";"     6.4";"     100";"    36.7";"    32.3";"    33.9";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Noordenveld";"2021";"    30.6";"    25.3";"     100";"    36.1";"    33.0";"    34.2";"    27.9"
"Totaal mannen en vrouwen";"Totaal personen";"Noordoostpolder";"2021";"    46.1";"    37.0";"     100";"    34.5";"    31.3";"    31.9";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Noordwijk";"2021";"    42.8";"    35.6";"     100";"    40.8";"    35.1";"    39.4";"    29.5"
"Totaal mannen en vrouwen";"Totaal personen";"Nuenen, Gerwen en Nederwetten";"2021";"    23.5";"    19.3";"     100";"    41.6";"    37.2";"    41.6";"    31.6"
"Totaal mannen en vrouwen";"Totaal personen";"Nunspeet";"2021";"    27.4";"    21.6";"     100";"    36.0";"    32.4";"    33.6";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Oegstgeest";"2021";"    24.6";"    19.0";"     100";"    49.0";"    41.5";"    52.2";"    38.6"
"Totaal mannen en vrouwen";"Totaal personen";"Oirschot";"2021";"    18.6";"    15.5";"     100";"    40.4";"    36.5";"    37.1";"    29.6"
"Totaal mannen en vrouwen";"Totaal personen";"Oisterwijk";"2021";"    31.4";"    26.4";"     100";"    42.2";"    36.4";"    38.3";"    29.1"
"Totaal mannen en vrouwen";"Totaal personen";"Oldambt";"2021";"    37.5";"    31.3";"     100";"    30.8";"    28.2";"    29.2";"    23.8"
"Totaal mannen en vrouwen";"Totaal personen";"Oldebroek";"2021";"    23.4";"    18.4";"     100";"    34.8";"    31.9";"    32.0";"    25.9"
"Totaal mannen en vrouwen";"Totaal personen";"Oldenzaal";"2021";"    31.2";"    25.9";"     100";"    34.9";"    32.0";"    32.9";"    27.0"
"Totaal mannen en vrouwen";"Totaal personen";"Olst-Wijhe";"2021";"    18.0";"    14.9";"     100";"    36.0";"    33.7";"    33.5";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Ommen";"2021";"    17.9";"    14.6";"     100";"    35.7";"    32.9";"    32.9";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Oost Gelre";"2021";"    28.8";"    24.5";"     100";"    36.4";"    33.6";"    32.4";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Oosterhout";"2021";"    55.7";"    45.8";"     100";"    35.9";"    32.7";"    35.2";"    28.3"
"Totaal mannen en vrouwen";"Totaal personen";"Ooststellingwerf";"2021";"    24.8";"    20.5";"     100";"    32.6";"    30.5";"    30.3";"    25.4"
"Totaal mannen en vrouwen";"Totaal personen";"Oostzaan";"2021";"     9.6";"     7.8";"     100";"    39.2";"    36.1";"    38.1";"    30.1"
"Totaal mannen en vrouwen";"Totaal personen";"Opmeer";"2021";"    11.9";"    10.0";"     100";"    37.7";"    34.2";"    33.1";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Opsterland";"2021";"    29.1";"    23.7";"     100";"    34.3";"    32.0";"    32.2";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Oss";"2021";"    91.4";"    75.6";"     100";"    35.5";"    32.5";"    33.8";"    27.5"
"Totaal mannen en vrouwen";"Totaal personen";"Oude IJsselstreek";"2021";"    38.6";"    32.3";"     100";"    33.4";"    31.2";"    30.4";"    25.4"
"Totaal mannen en vrouwen";"Totaal personen";"Ouder-Amstel";"2021";"    13.9";"    11.3";"     100";"    45.6";"    38.8";"    45.9";"    33.2"
"Totaal mannen en vrouwen";"Totaal personen";"Oudewater";"2021";"    10.0";"     8.2";"     100";"    41.7";"    36.2";"    37.2";"    30.1"
"Totaal mannen en vrouwen";"Totaal personen";"Overbetuwe";"2021";"    47.5";"    38.3";"     100";"    37.4";"    34.5";"    36.5";"    29.8"
"Totaal mannen en vrouwen";"Totaal personen";"Papendrecht";"2021";"    31.9";"    25.9";"     100";"    36.1";"    33.4";"    35.8";"    29.2"
"Totaal mannen en vrouwen";"Totaal personen";"Peel en Maas";"2021";"    42.8";"    36.3";"     100";"    36.0";"    33.5";"    32.5";"    27.2"
"Totaal mannen en vrouwen";"Totaal personen";"Pekela";"2021";"    12.0";"     9.9";"     100";"    29.3";"    27.3";"    27.4";"    23.0"
"Totaal mannen en vrouwen";"Totaal personen";"Pijnacker-Nootdorp";"2021";"    54.8";"    42.6";"     100";"    42.0";"    38.3";"    42.4";"    34.3"
"Totaal mannen en vrouwen";"Totaal personen";"Purmerend";"2021";"    90.2";"    74.7";"     100";"    35.3";"    32.9";"    34.7";"    28.6"
"Totaal mannen en vrouwen";"Totaal personen";"Putten";"2021";"    24.0";"    19.3";"     100";"    37.8";"    33.7";"    34.7";"    27.2"
"Totaal mannen en vrouwen";"Totaal personen";"Raalte";"2021";"    37.3";"    31.0";"     100";"    35.9";"    33.3";"    32.8";"    27.9"
"Totaal mannen en vrouwen";"Totaal personen";"Reimerswaal";"2021";"    22.6";"    17.6";"     100";"    34.8";"    31.3";"    32.5";"    26.4"
"Totaal mannen en vrouwen";"Totaal personen";"Renkum";"2021";"    30.3";"    25.2";"     100";"    39.9";"    35.0";"    39.5";"    30.7"
"Totaal mannen en vrouwen";"Totaal personen";"Renswoude";"2021";"     5.5";"     4.3";"     100";"    39.5";"    34.6";"    37.4";"    30.7"
"Totaal mannen en vrouwen";"Totaal personen";"Reusel-De Mierden";"2021";"    13.0";"    10.7";"     100";"    37.5";"    34.3";"    33.9";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Rheden";"2021";"    42.4";"    35.4";"     100";"    34.7";"    31.3";"    34.0";"    26.8"
"Totaal mannen en vrouwen";"Totaal personen";"Rhenen";"2021";"    19.8";"    15.8";"     100";"    38.9";"    33.4";"    36.0";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Ridderkerk";"2021";"    46.1";"    37.6";"     100";"    34.6";"    31.6";"    33.8";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Rijssen-Holten";"2021";"    37.7";"    29.6";"     100";"    36.7";"    32.4";"    32.2";"    26.4"
"Totaal mannen en vrouwen";"Totaal personen";"Rijswijk (ZH.)";"2021";"    54.0";"    43.0";"     100";"    35.7";"    32.3";"    38.3";"    30.9"
"Totaal mannen en vrouwen";"Totaal personen";"Roerdalen";"2021";"    20.2";"    17.2";"     100";"    34.7";"    32.2";"    32.8";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Roermond";"2021";"    57.6";"    47.9";"     100";"    32.9";"    30.0";"    32.9";"    26.3"
"Totaal mannen en vrouwen";"Totaal personen";"De Ronde Venen";"2021";"    44.3";"    36.3";"     100";"    44.4";"    37.2";"    42.7";"    31.1"
"Totaal mannen en vrouwen";"Totaal personen";"Roosendaal";"2021";"    75.7";"    62.4";"     100";"    33.9";"    31.6";"    33.3";"    27.0"
"Totaal mannen en vrouwen";"Totaal personen";"Rotterdam";"2021";"   633.7";"   509.1";"     100";"    32.2";"    27.9";"    33.9";"    25.8"
"Totaal mannen en vrouwen";"Totaal personen";"Rozendaal";"2021";"     1.7";"     1.4";"     100";"    54.8";"    46.0";"    55.8";"    41.9"
"Totaal mannen en vrouwen";"Totaal personen";"Rucphen";"2021";"    22.8";"    19.2";"     100";"    35.1";"    32.6";"    32.4";"    25.5"
"Totaal mannen en vrouwen";"Totaal personen";"Schagen";"2021";"    45.8";"    38.7";"     100";"    37.4";"    33.9";"    33.8";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Scherpenzeel";"2021";"    10.0";"     7.9";"     100";"    36.6";"    33.9";"    34.5";"    29.3"
"Totaal mannen en vrouwen";"Totaal personen";"Schiedam";"2021";"    77.5";"    62.4";"     100";"    32.4";"    29.9";"    33.3";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Schiermonnikoog";"2021";"     0.9";"     0.8";"     100";"    34.7";"    30.6";"    32.9";"    25.8"
"Totaal mannen en vrouwen";"Totaal personen";"Schouwen-Duiveland";"2021";"    33.6";"    28.4";"     100";"    37.2";"    32.8";"    34.2";"    26.5"
"Totaal mannen en vrouwen";"Totaal personen";"Simpelveld";"2021";"    10.3";"     8.8";"     100";"    33.6";"    31.5";"    32.3";"    26.2"
"Totaal mannen en vrouwen";"Totaal personen";"Sint-Michielsgestel";"2021";"    29.0";"    23.7";"     100";"    41.2";"    36.8";"    38.4";"    30.3"
"Totaal mannen en vrouwen";"Totaal personen";"Sittard-Geleen";"2021";"    89.8";"    75.8";"     100";"    33.0";"    30.5";"    33.1";"    26.2"
"Totaal mannen en vrouwen";"Totaal personen";"Sliedrecht";"2021";"    24.6";"    19.4";"     100";"    33.8";"    31.6";"    33.3";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Sluis";"2021";"    22.8";"    19.3";"     100";"    34.8";"    31.5";"    32.7";"    25.9"
"Totaal mannen en vrouwen";"Totaal personen";"Smallingerland";"2021";"    54.4";"    44.3";"     100";"    32.1";"    29.9";"    30.9";"    25.5"
"Totaal mannen en vrouwen";"Totaal personen";"Soest";"2021";"    46.3";"    37.8";"     100";"    40.2";"    35.7";"    39.8";"    30.4"
"Totaal mannen en vrouwen";"Totaal personen";"Someren";"2021";"    19.2";"    15.9";"     100";"    37.4";"    33.7";"    33.7";"    27.9"
"Totaal mannen en vrouwen";"Totaal personen";"Son en Breugel";"2021";"    17.3";"    13.9";"     100";"    41.5";"    36.9";"    41.3";"    32.1"
"Totaal mannen en vrouwen";"Totaal personen";"Stadskanaal";"2021";"    31.1";"    25.9";"     100";"    30.6";"    28.2";"    28.4";"    23.2"
"Totaal mannen en vrouwen";"Totaal personen";"Staphorst";"2021";"    17.2";"    13.0";"     100";"    36.7";"    32.8";"    31.5";"    26.6"
"Totaal mannen en vrouwen";"Totaal personen";"Stede Broec";"2021";"    21.5";"    17.7";"     100";"    35.2";"    31.9";"    32.3";"    26.6"
"Totaal mannen en vrouwen";"Totaal personen";"Steenbergen";"2021";"    23.7";"    19.8";"     100";"    35.3";"    32.7";"    34.1";"    27.5"
"Totaal mannen en vrouwen";"Totaal personen";"Steenwijkerland";"2021";"    43.7";"    36.0";"     100";"    34.3";"    31.2";"    31.8";"    26.2"
"Totaal mannen en vrouwen";"Totaal personen";"Stein (L.)";"2021";"    24.6";"    21.0";"     100";"    34.4";"    32.0";"    33.2";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Stichtse Vecht";"2021";"    64.3";"    51.8";"     100";"    43.8";"    35.9";"    41.7";"    31.4"
"Totaal mannen en vrouwen";"Totaal personen";"Súdwest-Fryslân";"2021";"    88.3";"    72.5";"     100";"    33.6";"    31.2";"    31.4";"    25.7"
"Totaal mannen en vrouwen";"Totaal personen";"Terneuzen";"2021";"    53.5";"    44.3";"     100";"    33.9";"    31.5";"    34.0";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Terschelling";"2021";"     4.8";"     4.1";"     100";"    37.0";"    32.6";"    33.9";"    26.0"
"Totaal mannen en vrouwen";"Totaal personen";"Texel";"2021";"    13.3";"    11.5";"     100";"    35.3";"    31.9";"    31.1";"    25.5"
"Totaal mannen en vrouwen";"Totaal personen";"Teylingen";"2021";"    37.2";"    30.3";"     100";"    42.0";"    36.7";"    41.1";"    31.8"
"Totaal mannen en vrouwen";"Totaal personen";"Tholen";"2021";"    25.7";"    20.4";"     100";"    34.8";"    31.9";"    32.8";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Tiel";"2021";"    41.1";"    33.6";"     100";"    33.4";"    31.0";"    32.9";"    26.8"
"Totaal mannen en vrouwen";"Totaal personen";"Tilburg";"2021";"   215.9";"   179.3";"     100";"    32.6";"    30.4";"    32.4";"    26.5"
"Totaal mannen en vrouwen";"Totaal personen";"Tubbergen";"2021";"    21.1";"    17.6";"     100";"    39.0";"    35.1";"    32.9";"    27.7"
"Totaal mannen en vrouwen";"Totaal personen";"Twenterand";"2021";"    33.3";"    26.5";"     100";"    33.4";"    30.8";"    30.2";"    25.6"
"Totaal mannen en vrouwen";"Totaal personen";"Tynaarlo";"2021";"    32.9";"    26.4";"     100";"    39.4";"    35.7";"    39.0";"    31.4"
"Totaal mannen en vrouwen";"Totaal personen";"Tytsjerksteradiel";"2021";"    31.1";"    25.3";"     100";"    33.7";"    31.5";"    31.3";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Uitgeest";"2021";"    13.6";"    11.1";"     100";"    39.2";"    36.4";"    38.1";"    31.6"
"Totaal mannen en vrouwen";"Totaal personen";"Uithoorn";"2021";"    29.8";"    24.1";"     100";"    38.3";"    34.9";"    38.8";"    31.2"
"Totaal mannen en vrouwen";"Totaal personen";"Urk";"2021";"    20.9";"    14.7";"     100";"    35.4";"    31.8";"    31.5";"    25.0"
"Totaal mannen en vrouwen";"Totaal personen";"Utrecht (gemeente)";"2021";"   351.6";"   282.1";"     100";"    36.7";"    33.9";"    40.1";"    33.2"
"Totaal mannen en vrouwen";"Totaal personen";"Utrechtse Heuvelrug";"2021";"    48.0";"    38.8";"     100";"    43.9";"    37.4";"    42.9";"    31.6"
"Totaal mannen en vrouwen";"Totaal personen";"Vaals";"2021";"     9.2";"     7.7";"     100";"    31.0";"    27.4";"    31.4";"    23.8"
"Totaal mannen en vrouwen";"Totaal personen";"Valkenburg aan de Geul";"2021";"    15.9";"    13.7";"     100";"    36.7";"    32.5";"    34.8";"    27.0"
"Totaal mannen en vrouwen";"Totaal personen";"Valkenswaard";"2021";"    30.8";"    26.0";"     100";"    36.4";"    32.7";"    34.7";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Veendam";"2021";"    27.0";"    22.2";"     100";"    31.1";"    29.0";"    29.9";"    24.7"
"Totaal mannen en vrouwen";"Totaal personen";"Veenendaal";"2021";"    65.9";"    52.3";"     100";"    34.7";"    32.1";"    34.1";"    27.7"
"Totaal mannen en vrouwen";"Totaal personen";"Veere";"2021";"    21.6";"    17.9";"     100";"    38.1";"    34.1";"    34.4";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Veldhoven";"2021";"    44.7";"    36.7";"     100";"    38.7";"    34.9";"    38.9";"    30.3"
"Totaal mannen en vrouwen";"Totaal personen";"Velsen";"2021";"    67.6";"    55.9";"     100";"    36.4";"    33.5";"    35.8";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Venlo";"2021";"   100.0";"    83.6";"     100";"    32.4";"    29.9";"    31.1";"    25.3"
"Totaal mannen en vrouwen";"Totaal personen";"Venray";"2021";"    42.7";"    36.1";"     100";"    35.4";"    32.8";"    33.0";"    27.2"
"Totaal mannen en vrouwen";"Totaal personen";"Vijfheerenlanden";"2021";"    56.9";"    45.6";"     100";"    36.6";"    33.6";"    35.2";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Vlaardingen";"2021";"    72.4";"    58.5";"     100";"    32.7";"    30.2";"    33.3";"    27.3"
"Totaal mannen en vrouwen";"Totaal personen";"Vlieland";"2021";"     1.1";"     1.0";"     100";"    36.2";"    30.7";"    33.9";"    26.8"
"Totaal mannen en vrouwen";"Totaal personen";"Vlissingen";"2021";"    43.5";"    36.4";"     100";"    31.7";"    29.8";"    31.4";"    25.6"
"Totaal mannen en vrouwen";"Totaal personen";"Voerendaal";"2021";"    12.3";"    10.4";"     100";"    36.5";"    34.0";"    35.8";"    28.5"
"Totaal mannen en vrouwen";"Totaal personen";"Voorne aan Zee";"2021";"    71.7";"    59.0";"     100";"    38.6";"    35.2";"    39.4";"    30.8"
"Totaal mannen en vrouwen";"Totaal personen";"Voorschoten";"2021";"    25.1";"    19.9";"     100";"    43.1";"    38.1";"    44.2";"    34.2"
"Totaal mannen en vrouwen";"Totaal personen";"Voorst";"2021";"    24.0";"    19.8";"     100";"    38.1";"    34.2";"    35.2";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Vught";"2021";"    30.5";"    24.5";"     100";"    46.0";"    37.5";"    43.6";"    32.3"
"Totaal mannen en vrouwen";"Totaal personen";"Waadhoeke";"2021";"    45.2";"    37.2";"     100";"    32.5";"    30.6";"    30.3";"    25.7"
"Totaal mannen en vrouwen";"Totaal personen";"Waalre";"2021";"    17.4";"    14.0";"     100";"    44.9";"    38.5";"    45.0";"    32.8"
"Totaal mannen en vrouwen";"Totaal personen";"Waalwijk";"2021";"    48.2";"    39.8";"     100";"    35.0";"    32.1";"    33.4";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Waddinxveen";"2021";"    30.1";"    24.0";"     100";"    36.6";"    33.9";"    36.2";"    30.1"
"Totaal mannen en vrouwen";"Totaal personen";"Wageningen";"2021";"    36.7";"    29.8";"     100";"    30.7";"    28.9";"    32.3";"    25.7"
"Totaal mannen en vrouwen";"Totaal personen";"Wassenaar";"2021";"    26.1";"    19.8";"     100";"    58.6";"    38.9";"    61.4";"    31.5"
"Totaal mannen en vrouwen";"Totaal personen";"Waterland";"2021";"    17.2";"    14.0";"     100";"    42.2";"    36.8";"    40.7";"    30.5"
"Totaal mannen en vrouwen";"Totaal personen";"Weert";"2021";"    49.0";"    41.2";"     100";"    35.3";"    32.5";"    33.6";"    27.0"
"Totaal mannen en vrouwen";"Totaal personen";"West Betuwe";"2021";"    50.8";"    41.0";"     100";"    39.2";"    35.3";"    36.9";"    29.3"
"Totaal mannen en vrouwen";"Totaal personen";"West Maas en Waal";"2021";"    19.3";"    16.0";"     100";"    36.9";"    34.2";"    34.8";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Westerkwartier";"2021";"    62.5";"    50.1";"     100";"    34.8";"    32.2";"    33.0";"    27.7"
"Totaal mannen en vrouwen";"Totaal personen";"Westerveld";"2021";"    19.1";"    16.2";"     100";"    36.5";"    33.2";"    33.8";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Westervoort";"2021";"    14.8";"    12.3";"     100";"    33.3";"    31.2";"    33.0";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Westerwolde";"2021";"    24.2";"    20.3";"     100";"    31.7";"    29.6";"    29.4";"    24.3"
"Totaal mannen en vrouwen";"Totaal personen";"Westland";"2021";"   109.7";"    90.2";"     100";"    38.7";"    35.2";"    35.6";"    28.9"
"Totaal mannen en vrouwen";"Totaal personen";"Weststellingwerf";"2021";"    25.6";"    21.1";"     100";"    32.4";"    30.4";"    30.1";"    25.4"
"Totaal mannen en vrouwen";"Totaal personen";"Wierden";"2021";"    24.3";"    19.8";"     100";"    38.7";"    34.6";"    34.4";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Wijchen";"2021";"    40.7";"    33.8";"     100";"    37.1";"    33.8";"    35.2";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Wijdemeren";"2021";"    24.2";"    19.8";"     100";"    45.1";"    37.1";"    42.1";"    30.7"
"Totaal mannen en vrouwen";"Totaal personen";"Wijk bij Duurstede";"2021";"    23.7";"    19.5";"     100";"    38.8";"    35.2";"    37.5";"    30.6"
"Totaal mannen en vrouwen";"Totaal personen";"Winterswijk";"2021";"    28.4";"    23.9";"     100";"    33.6";"    30.9";"    30.6";"    25.1"
"Totaal mannen en vrouwen";"Totaal personen";"Woensdrecht";"2021";"    21.6";"    17.7";"     100";"    35.0";"    32.8";"    34.7";"    27.7"
"Totaal mannen en vrouwen";"Totaal personen";"Woerden";"2021";"    52.0";"    41.8";"     100";"    40.1";"    36.0";"    39.3";"    31.3"
"Totaal mannen en vrouwen";"Totaal personen";"De Wolden";"2021";"    23.9";"    19.9";"     100";"    37.9";"    34.1";"    33.8";"    27.9"
"Totaal mannen en vrouwen";"Totaal personen";"Wormerland";"2021";"    16.2";"    13.5";"     100";"    38.3";"    34.2";"    35.8";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Woudenberg";"2021";"    13.3";"    10.4";"     100";"    38.1";"    35.0";"    36.4";"    30.0"
"Totaal mannen en vrouwen";"Totaal personen";"Zaanstad";"2021";"   154.5";"   125.0";"     100";"    33.9";"    31.6";"    33.9";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Zaltbommel";"2021";"    29.1";"    23.2";"     100";"    36.9";"    33.3";"    35.2";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Zandvoort";"2021";"    16.7";"    14.0";"     100";"    38.5";"    32.7";"    37.9";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Zeewolde";"2021";"    22.7";"    18.3";"     100";"    37.4";"    33.8";"    36.6";"    29.9"
"Totaal mannen en vrouwen";"Totaal personen";"Zeist";"2021";"    62.5";"    49.6";"     100";"    42.7";"    35.6";"    43.6";"    30.8"
"Totaal mannen en vrouwen";"Totaal personen";"Zevenaar";"2021";"    43.5";"    36.4";"     100";"    33.7";"    31.3";"    32.1";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Zoetermeer";"2021";"   124.2";"   100.1";"     100";"    35.2";"    33.2";"    36.4";"    30.5"
"Totaal mannen en vrouwen";"Totaal personen";"Zoeterwoude";"2021";"     8.4";"     6.9";"     100";"    40.7";"    37.0";"    39.6";"    32.0"
"Totaal mannen en vrouwen";"Totaal personen";"Zuidplas";"2021";"    44.4";"    35.2";"     100";"    39.3";"    35.7";"    38.7";"    31.3"
"Totaal mannen en vrouwen";"Totaal personen";"Zundert";"2021";"    21.4";"    18.1";"     100";"    37.8";"    34.4";"    34.0";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Zutphen";"2021";"    46.5";"    38.5";"     100";"    33.3";"    30.9";"    32.7";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Zwartewaterland";"2021";"    22.5";"    17.6";"     100";"    36.7";"    32.2";"    32.9";"    26.8"
"Totaal mannen en vrouwen";"Totaal personen";"Zwijndrecht";"2021";"    44.2";"    35.7";"     100";"    34.0";"    31.2";"    33.9";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Zwolle";"2021";"   127.5";"   103.1";"     100";"    34.8";"    32.5";"    35.3";"    29.4"
